,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
594,2.4716147829145774e-05,5.932529240221251e-07,0,-1,ALDD16,False
595,2.4432596222645486e-05,5.924014701147451e-07,0,-1,ALDD18,False
596,-7.380368609495591e-05,4.2394185947869367e-07,0,-1,HSDy,True
597,-6.14804509398853e-05,2.985494405027822e-07,0,-1,SHSL4r,False
598,-6.92002907744238e-06,5.731277539777757e-07,0,-1,HIBD,False
599,-3.241052721837667e-05,-0.06997862948527357,0,-1,HACOADr,False
600,-6.540781933503381e-05,5.890727351326452e-07,0,-1,ACOADH2,False
601,0.00019192466229310534,5.297665004733165e-07,0,-1,ACOAD20,False
602,6.845679195739696e-05,-6.627394399244535e-07,0,-1,BUTKr,False
603,3.868699347746307e-05,5.123124490052922e-07,0,-1,SUCBZS,True
604,6.324480007299793e-06,-6.339953956269184e-08,0,-1,SDPDS,False
605,-5.774086386078903e-06,-0.00010240267757721799,0,-1,FMNRy,False
606,0.00013835148931438945,5.609785991150806e-07,0,-1,KARA2,True
607,-5.551377101124799e-05,5.527954957257331e-07,0,-1,KARA1,True
608,-0.023760736751079148,-0.06997862948526769,745,-1,ALTRH,False
609,1.835230169382196e-05,-0.06997862948525865,0,-1,DKII,False
610,-0.02376073675108059,-0.06997862948526624,745,-1,MNNH,False
611,-0.00027834475574370354,6.110730016856136e-07,0,-1,26DPAi,False
612,0.00022603948459494483,5.77782606758781e-07,0,-1,DHDPRy,True
613,1.9456224542996337e-05,4.90139981393356e-07,0,-1,LCADi,False
614,-5.550954552623055e-05,5.585809768338112e-07,0,-1,MCA,False
615,-0.00010281729893428515,2.8900282851573866e-07,0,-1,ACNPLYS,False
616,0.000147344677463343,3.948353488741896e-07,0,-1,ENO,False
617,0.0003117490671995793,-3.611119385862893e-06,0,-1,PSCVT,True
618,1.509148877994193e-05,-3.207480818168129e-07,0,-1,GLYALDDr,False
619,6.136179499793837e-06,-0.069978629485248,0,-1,INS2D,False
620,1.749286675112316e-05,-0.06997862948527488,0,-1,RMK,False
621,0.00014949888079641982,1.1658743581666187e-08,0,-1,GLYCK,False
622,0.00011036424031078684,6.420278639979182e-07,0,-1,PGM,False
623,0.0002820240263455287,3.6182641947879457e-07,0,-1,DHQS,True
624,8.262406658895993e-06,9.68785861019117e-07,0,-1,FFSD,False
625,-2.38797395570034e-06,8.316324052182189e-07,0,-1,RAFH,False
626,1.5862580351910793e-05,-2.0024428863396615e-06,0,-1,SBTD_D2,False
627,1.1916882763210457e-05,-0.06997862948526923,0,-1,SUCR,False
628,8.644583176231624e-07,-3.93136335319344e-07,0,-1,XYLI2,False
629,6.932295631006946e-06,9.681406405587234e-07,0,-1,PMANM,False
630,9.005384739690925e-06,1.1437237848882509e-06,0,-1,AB6PGH,False
631,-5.1349103188005896e-05,1.0051883532896655e-06,0,-1,G6PDH2r,False
632,1.7023553331177443e-05,9.771043172623894e-07,0,-1,G6PI,False
633,6.574671697143208e-05,8.303669221665366e-07,0,-1,HEX1,False
634,7.213637680261731e-06,1.106984286264323e-06,0,-1,MAL6PG,False
635,7.213637681621754e-06,1.106984286264323e-06,0,-1,BGLA1,False
