,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
55,-3.7287147744424765e-09,-8.84602679011165e-06,0,-1,ANS,True
56,-2.4256399409894325e-08,-0.05145942466624322,0,-1,ARGSL,True
57,4.074092578437716e-07,-0.00023527741881362862,0,-1,ARGSS,True
58,9.935005357286641e-08,-0.00022651158803886629,0,-1,ASNN,False
59,-1.9039699539202815e-07,-0.05145942466623892,0,-1,ASNS1,True
60,2.4828311633723343e-07,-0.0003497877906394886,0,-1,ASPTA,False
61,7.85037303281666e-07,-3.3826135172609906e-06,0,-1,C3STKR2,True
62,-1.5538723230346108e-07,-1.1660514316017001e-05,0,-1,CBPS,True
63,-4.593593624924175e-08,-4.5176372948721455e-06,0,-1,CYSS,False
64,5.13053733823543e-07,-3.994992325812019e-06,0,-1,CYSTGL,False
65,-5.504555708329972e-07,-5.505766663985168e-05,0,-1,CYTDK2,False
66,-1.9276082477856504e-05,-1.8161280418899084e-05,0,-1,CYTK1,False
67,5.3351705553428275e-08,2.875553721734536e-07,0,-1,CYTK2,False
68,-1.0408863145433545e-06,-6.26416793369361e-06,0,-1,DADK,True
69,3.8005551875400223e-06,-1.0275643274666735e-05,0,-1,DAGCPT_SC,False
70,1.433054554852986e-05,-2.053568885749396e-05,0,-1,DASYN_SC,False
71,3.5379003622548755e-08,-5.81607379014637e-07,0,-1,DCMPDA,False
72,-2.368356017551365e-08,1.636412692053446e-06,0,-1,DGK1,False
73,3.4005291580513353e-07,-0.051459424666267684,0,-1,DTMPK,False
74,1.6046385921397732e-08,-4.368229332626927e-07,0,-1,EHGLAT,False
75,1.1290773307970348e-07,-5.330287581456483e-07,0,-1,ERGSTESTH_SC,False
76,1.3318757230915135e-06,-1.5814270134799358e-05,0,-1,ETHAPT_SC,False
77,3.3975279667419755e-07,1.1325353924326875e-06,0,-1,GBEZ,False
78,-4.298408074969451e-06,-1.5486746351073277e-05,0,-1,GF6PTA,False
79,4.826053294007537e-07,-1.9544261086801296e-05,0,-1,GHMT2r,False
80,-2.8700328853499546e-05,-0.0005436179710089917,0,-1,GK1,False
81,-2.8235162178272266e-05,-0.0005587902043084972,0,-1,GK2,False
82,7.446441222871969e-07,-0.05145942466624294,0,-1,GLNS,True
83,-3.230125911191095e-08,-4.3637803828766586e-07,0,-1,GLUN,False
84,-1.5336163557144733e-07,-2.4453899462387185e-06,0,-1,GLUPRT,True
85,-5.507291597761643e-08,-4.368229265458434e-07,0,-1,GLUSx,False
86,-7.52082128421816e-07,-0.00011962637171181872,0,-1,GMPS2,True
87,1.9504552337193393e-06,-7.760558618293001e-06,0,-1,GSNK,False
88,-1.3766048391622432e-06,8.710099803077576e-07,0,-1,GTPH1,False
89,2.820474603225376e-06,-5.2742037837526234e-05,0,-1,GUAPRT,False
90,-2.0984500651022309e-07,-1.487104529879213e-06,0,-1,HCYSMT,False
91,1.1372542168402999e-07,-0.051459424666245354,0,-1,HISTD,True
